Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
John Joubert;07.02.1963;United States;1982-1983;3;3;1963;1982;19;Joubert was convicted of the murders of one boy in Maine and two boys in Nebraska. Joubert's teeth marks were used to connect the multi-state murders. He was known to bite his victims during or after the attack. He enlisted in the US Air Force and was lat;Torturer, Strangler;The Nebraska Boy Snatcher;Power;Power/Control;Male;Child;Male;None
Donald Leroy Evans;07.05.1957;United States;1985-1991;3;70;1957;1985;28;Donald Leroy Evans an American serial killer convicted for the kidnapping, raping, strangulation and murder of 10-year-old Beatrice Routh in 1993, and the strangulation death of Ira Jean Smith in 1985. Evans is suspected of another dozen murders but recan;Rapist, Strangler, Sexual Predator;Hi Hitler, Heil Hitler;Sexual Assault;Hedonistic - Lust;Female;Adult;Mixed;None
Westley Allan Dodd;07.03.1961;United States;1989;3;3;1961;1989;28;In 1989, Dodd raped and murdered three young boys in Vancouver, Washington. Dodd had an extensive arrest record for molesting children by the time his behavior escalated to include murder. Dodd refused to appeal his death sentence, he stated that he shoul;Rapist, Torturer, Strangler, Sexual Predator;The Vancouver Child Killer;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Bandali Debs;7/18/1953;Austrailia;1997-1998;3;5;1953;1997;44;"Bandali Debs Convicted of the murder of Kirsty Harty at Upper Beaconsfield in 1997, and of the Moorabbin Police murders 14 months later to avoid arrest for a string of armed robberies; sentenced to three consecutive life sentences plus 27 years without th";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Peter Dupas;07.06.1953;Austrailia;1997-1999;3;6;1953;1997;44;Peter Dupas (Peter Norris Dupas) an Australian serial killer rapist and sexual sadist from Melbourne, Australia. Dupas murdered three women and is suspected of at least three further killings. He was convicted of sixteen separate acts of sexual violence b;Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
John Bittrolff;07.01.1966;United States;1993-1994;2;3;1966;1993;27;John Bittrolff a suspected American serial killer who is a suspect in the Long Island Serial Killer case. Bittrolff was convicted of killing two sex workers and is a suspect in the death of a third. The victims were strangled bludgeoned, posed naked with ;Strangler;Suspected Long Island Serial Killer;Power;Power/Control;Male;Adult;Male;None
Glen Edward Rogers;7/15/1962;United States;1993-1995;2;3;1962;1993;31;Rogers was convicted of two murders and is a suspect in numerous others throughout the United States. Rogers has not been charged, but was a possible alternative suspect in the O.J. Simpson case regarding the murders of Nicole Brown Simpson and Ronald Gol;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;None
Kwauhuru Govan;7/20/1978;United States;2004-2017;2;4;1978;2004;26;Govan's DNA was matched with evidence beneath the nails of one of his victims. Govan was arrested at Northwest Florida Reception Center in Chipley, as he was being released from prison in 2016. Govan's previous arrests in Brooklyn include robbery, assault;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Genene Jones;7/13/1950;United States;1977-1982;2;60;1950;1977;27;Genene Jones Genene Anne Jones a suspected serial killer responsible for the deaths of up to 60 infants and children in her care as a licensed vocational nurse during the 1970s and 1980s. She used injections of digoxin, heparin and later succinylcholine t;Hate Crime, Medical;;Power;Power/Control;Female;Child;Mixed;Children
Maria Swanenburg;9/9/1839;Netherlands;1880-1883;27;90;1839;1880;41;Swanenburg poisoned at least a hundred people with arsenic, of whom twenty-seven died between 1880 and 1883 in Leiden, Netherlands. She was suspected of killing more than ninety people. She was found guilty of murder of her last three victims and sentence;Unknown;Goeie Mie, Good Mie;Power;Power/Control;Female;Adult;Mixed;None
Gerald Stano;09.12.1951;United States;1969-1980;22;41;1951;1969;18;"Born Paul Zeininger. Stano killed at least 22 women; he confessed to killing 41. Stano was executed by electric chair on March 23, 1998 in Florida State Prison.";Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Mark Goudeau;09.06.1964;United States;2005-2006;9;9;1964;2005;41;Goudeau would kidnap, rape rob and murder victims in Phoenix, Arizona between 2005 and 2006. He murdered nine victims, eight female and one male. He would wear disguises such as a Halloween mask or dress as a homeless man. Ballistics and DNA evidence was ;Rapist, Sexual Predator;The Baseline Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Samuel Dieteman;10/17/1975;United States;2005-2006;8;8;1975;2005;30;The Serial Shooters of Phoenix, Arizona were responsible for at least eight murders and 29 to 38 other drive-by shootings in 2005 and 2006. Dale Hausner and Samuel Dieteman were arrested in 2006 for the crimes, and are also thought to have been responsibl;Unknown;One of the Serial Shooters;Power;Power/Control;Female;Adult;Male;None
Marybeth Tinning;09.11.1942;United States;1972-1983;8;8;1942;1972;30;An American serial killer that suffocated eight of her nine children with pillows during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die. Nine Tinning children died under Marybeth's care over fo;Unknown;;Power;Power/Control;Male;Child;Mixed;None
Paul Steven Haigh;09.05.1957;Austrailia;1978-1991;7;7;1957;1978;21;Haigh was sentenced to life imprisonment without parole for the murders of six people, including a 10-year-old boy, in Victoria between 1978 and 1979. In 1979, he killed people he believed knew too much about his crimes, including his associate's former g;Unknown;;Power;Power/Control;Male;Adult;Male;None
Terry Blair;9/16/1961;United States;1982-2004;7;9;1961;1982;21;In 1982, Blair murdered the mother of his two children, she was pregnant at the time of her death. He was sentenced to twenty-five years imprisonment and was released on parole after serving twenty-one years. In 2004, Blair was charged with eight counts o;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Harrison Graham;09.09.1959;United States;1987;7;7;1959;1987;28;Harrison Graham Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment.  Harrison Graham had an IQ of 75.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Aaron Kosminski;9/11/1865;United Kingdom;1888-1891;5;11;1865;1888;23;Aaron Kosminski (Aron Mordke Kozmi?Ö¬Ñski) a suspect in the Jack the Ripper case. The book Naming Jack The Ripper by Russell Edwards names Kosminski as Jack the Ripper based on forensic DNA evidence. In 1891, Aaron Kosminski was institutionalised in an in;Unknown;Jack the Ripper (possible);Mental Illness;Visionary;Male;Adult;Mixed;None
Joachim Knychala;09.08.1952;Poland;1975-1982;5;5;1952;1975;23;Joachim Knychala the Polish serial killer known as The vampire of Bytom, Wampir z Bytomia, and Frankenstein, who murdered 5 women between 1975 and 1982. Knychala mother who rejected him and often had sex with boyfriends in front of him. His grandmother vi;Vampire;The Vampire of Bytom, Frankenstein;Vampirism;Hedonistic;Male;Adult;Female;None
Anthony Kirkland;9/13/1968;United States;1987-2009;5;5;1968;1987;19;Anthony Kirkland an American serial killer who killed his girlfriend and set her body on fire in 1987. Kirkland pleaded guilty to manslaughter and served sixteen years in prison. He was released on parole in 2004. Kirkland murdered four females between 20;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
William Dathan Holbert;09.12.1979;Panama;2010;5;5;1979;2010;31;American expatriate who had the bodies of five other Americans buried on his property. He would kill people to get their money and properties. His wife, Laura Michelle Reese, was also arrested.;Financial Motive;Wild Bill;Financial Gain;Hedonistic;Male;Adult;Mixed;None
John Cooper;09.03.1944;United Kingdom;1985-1989;4;4;1944;1985;41;John Cooper (John William Cooper) a British armed robber, rapist and serial killer known as The Bullseye Killer and The Wildman. He murdered four victims in Pembrokeshire, Wales between 1985 and 1989. In 1989, Cooper participated in the ITV gameshow Bulls;Rapist, Sexual Predator;The Bullseye Killer, The Wildman;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Ra??¬?l Osiel Marroqu??¬≠n;09.01.1980;Mexico;2005;4;4;1980;2005;25;Marroqu??¬≠n lured men from gay bars to torture and strangle them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families. Juan Enrique Madrid Manuel presumably helped Ma;Sexual Predator, Torturer, Strangler;El S??¬?dico, The Sadist;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;None
Scott Lee Kimball;9/21/1966;United States;2003-2004;4;4;1966;2003;37;Kimball, a FBI informant who pleaded guilty to two of at least four murders in Colorado including those of his uncle and three female acquaintances. All four victims died between January 2003 and August 2004, while Kimball was serving as an FBI informant.;Unknown;Joe Snitch;Femicide;Power and Hedonistic;Male;Adult;Female;None
Matti Haapoja;9/16/1845;Finland;1867-1894;3;25;1845;1867;22;Haapoja was exiled from Siberia in the 1880s where five of the murders took place. He managed to escape from prison several times, being recaptured each time. In 1984, he attempted to commit suicide by stabbing himself, the attempt failed and he later rec;Strangler;;Power;Power/Control;Male;Adult;Male;None
Dellen Millard;8/30/1985;Canada;2012-2013;3;3;1985;2012;27;A Canadian seriall killer who along with Mark Smich are convicted of murdering 2 people from 2012 to 2013. In 2016 and 2017, the two men were convicted of first-degree murder and were sentenced to two life terms in prison, with no parole eligibility for 2;Unknown;;Power;Power/Control;Male;Adult;Male;None
Suzan Bear Carson;9/14/1941;United States, Europe;1982-1983;3;3;1941;1982;41;Suzan Bear Carson (born Suzan Thornell Barnes) an American serial killers along with husband Michael Bear Carson, both convicted for three murders between 1982 and 1983 in Northern California and the San Francisco Bay Area. On December 02, 2015at a Parole;Unknown;One of the San Francisco Witch Killers;Power;Power/Control;Female;Adult;Mixed;None
Graham Young;09.07.1947;United Kingdom;1962-1971;3;3;1947;1962;15;Graham Young (Graham Frederick Young) an English serial killer who used poison to kill his victims. Young, known as the Teacup Poisoner and the St. Albans Poisoner, was arrested in Sheerness, Kent, on November 21st 1971.;Unknown;Teacup Poisoner;Power;Power/Control;Male;Adult;Mixed;None
Brian Dugan;9/23/1956;United States;1983-1985;3;5;1956;1983;27;Dugan claimed to have been sexually abused by John Wayne Gacy at the age of 15. In 1974, Dugan was accused of trying to abduct a 10-year-old girl. The charges were later dropped on a legal technicality. In 1983, Dugan sexually assaulted and bludgeoned to ;Rapist, Strangler, Pedophile, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Paul Michael Stephani;09.08.1944;United States;1980-1982;3;3;1944;1980;36;"Known as The Weepy-Voiced Killer due to a calls he made to police, anonymously admitting to murder. He killed three women in the cities of Saint Paul and Minneapolis, Minnesota. In one phone call Stephani reportedly said: ""God damn, will you find me? I ju";Unknown;The Weepy-Voiced Killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Louise Peete;9/20/1880;United States;1912-1942;3;3;1880;1912;32;"Louise Peete Born Lofie Louise Preslar, in Bienville, Louisiana, one of America's leading ""black widows"" was the daughter of a socially prominent newspaper publisher. Convicted of murdering a man and woman decades apart, four other acquaintances died susp";Unknown;Lofie Louise Preslar;Femicide;Power and Hedonistic;Male;Adult;Female;None
Marie Fikackova;09.09.1936;Czech Republic;1957-1960;2;10;1936;1957;21;Marie Fikackova (born Marie Schmidl) (Marie Fik??¬??Ñ¬çkov??¬?) a Czech serial killer and neonatal nurse. Fik??¬??Ñ¬çkov??¬? conessed to killing at least ten newborns between 1957 and 1960. She was convicted of only two of the murders in 1960. In 1961, Ma;Medical;;Power;Power/Control;Male;Child;Mixed;None
Robert Zarinsky;09.02.1940;United States;1958-1974;2;10;1940;1958;18;Robert Zarinsky a suspected American serial killer who spent three decades in prison for the murder of an Atlantic Highlands girl. He is a suspect in at least 9 other murders. Zarinsky died at the South Woods State Prison in Bridgeton, New Jersey, of pulm;Unknown;;Power;Power/Control;Female;Adult;Mixed;None
Fred West;9/29/1941;United Kingdom;1967-1987;12;13;1941;1967;26;Rosemary West (born Rosemary Pauline Letts) a British serial killer who along with her husband Fred West are known as The Gloucester House of Horrors. In 1995, Fred and Rosemary were convicted of ten murders, nine young women between 1973 and 1987, and he;Rapist, Strangler, Torturer, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Paul Ogorzow;9/29/1912;Germany;1940-1941;8;8;1912;1940;28;Ogorzow was a Sturmabteilung sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during wartime blackouts in 1941 and 1942. He worked on The Deutsche Reichsbahn, also known as the German National Railway. Most of h;Rapist, Strangler, Sexual Predator;S-Bahn murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Dayton Leroy Rogers;9/30/1953;United States;1983-1987;7;8;1953;1983;30;Rogers killed street women, usually addicts, prostitutes and runaways. He picked up prostitutes and took them to secluded areas. He would bound, torture rape and murder his victims, leaving the bodies in a forest outside Molalla, Oregon. Authorities found;Rapist, Torturer, Sexual Predator;Molalla Forest Murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Guy Georges;10/15/1962;France;1991-1997;7;7;1962;1991;29;Georges assaulted, stabbed, tortured, raped and killed seven women in the neighborhood of the Bastille between 1991 and 1997. His mother abandoned him to state custody at the age of six, he was adopted by a family and grew up in a family of twelve adopted;Rapist, Torturer, Sexual Predator;The Beast of the Bastille, the killer of eastern Paris;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Vaclav Mrazek;10/22/1925;Czech Republic;1951-1956;7;7;1925;1951;26;A Czech serial killer who killed six women and one man in Chomutov. He would rape rob, beat, shoot and murder his victims. He had an extensive criminal history prior to his killing spree. In 1951, Mrazekis is thought to have committed his first murder, th;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Carlton Gary;9/24/1950;United States;1975-1978;7;7;1950;1975;25;Gary would beat, sexually assault and strangle elderly victims, mostly using stockings. An eighth elderly women was beat and sexually assaulted but survived the attack. Gary was convicted of the murders of seven elderly women in Georgia and sentenced to d;Hate Crime, Rapist, Strangler, Sexual Predator;The Stocking Strangler, Steakhouse Bandit;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;Elderly
Juan D??¬≠az de Garayo;10/17/1821;Spain;1870-1879;6;6;1821;1870;49;Garayo strangled six victims and attacked four others between 1870 and 1879. Garayo first killed prostitutes after hiring and sleeping with them consensually, but grew more violent, attacking, raping and murdering his victims.;Rapist, Strangler, Sexual Predator;"The Fat Extractor (""El Sacamantecas"")";Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Lyda Southard;10/16/1892;United States;1915-1920;6;6;1892;1915;23;Lyda Southard (Lyda Anna Mae Trueblood) an American serial killer who poisoned her 4 husbands, a brother-in-law, and her daughter by using arsenic poisoning derived from flypaper. Southard died of a heart attack on February 5, 1958 in Salt Lake City, Utah;Unknown;Flypaper Lyda, The Black Widow;Power;Power/Control;Female;Adult;Male;None
Mack Ray Edwards;10/17/1918;United States;1953-1970;6;18;1918;1953;35;An American serial killer and child molester who murdered at least six children in Los Angeles County, California between 1953 and 1970. Edwards murdered at least two young girls and four young boys. He claimed at one point to have killed as many as eight;Rapist, Pedophile, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Lawrence Bittaker;9/27/1940;United States;1979;5;5;1940;1979;39;Lawrence Bittaker (Lawrence Sigmund Bittaker) an American serial killer and rapists who along with his accomplice, Roy Lewis Norris are known as the Tool Box Killers. In 1979, Bittaker and Norris kidnapped, raped tortured and murdered five teenage girls o;Rapist, Torturer, Strangler, Stalker, Sexual Predator;One of the Tool Box Killers;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Arthur Gary Bishop;9/29/1952;United States;1979-1983;5;5;1952;1979;27;"Arthur Gary Bishop Utah man who murdered five young boys; executed in 1988.";Unknown;;Power;Power/Control;Male;Adult;Male;None
Hubert Pilcik;10/14/1981;Czech Republic;1948-1951;5;10;1981;1948;-33;Pilcik made money smuggling people across the Czechoslovakia-Germany border, he killed most of his customers. He would beat, rob, rape and shoot his victims. He was known to burn the remains of at least one of his victims. A 12-year-old girl was found bel;Financial Motive, Rapist, Sexual Predator;The Beast;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Male;None
Gary Charles Evans;10.07.1954;United States;1985-1997;5;5;1954;1985;31;Gary Charles Evans an American serial killer who became friends with fellow inmate and infamous serial killer Son of Sam, David Berkowitz, during his time in Sing Sing Prison. Evan's was released from Sing Sing in 1984, he proceeded to burglarize and kill;Stalker;;Power;Power/Control;Male;Adult;Male;None
Lesley Warren;10/15/1967;United States;1987-1990;4;8;1967;1987;20;Warren was the oldest of two siblings he also had a half-sister and half-brother. He had been physically and psychologically abused since birth by his father. Warren received a sentence of death for killing Velma Gray, and the Asheville murders of Jayme H;Rapist, Torturer, Strangler, Sexual Predator;The Babyface Killer;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
John Ingvar Lovgren;10/22/1930;Sweden;1958-1963;4;4;1930;1958;28;He would assault, rape and beat his victims to death with a rock. Lovgren was never convicted for one of the murders and the case has since been closed, authorities consider the case solved with Lovgren as the assailant. In 1964, Lovgren was convicted for;Rapist, Sexual Predator;Flickm??¬∂rdaren, The Girl Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Ion R??¬Æmaru;10/23/1971;Romania;1970-1971;4;4;1971;1970;-1;R??¬Æmaru attacked 14 lone waitresses as they returned from work with a hammer, hatchet, knife or iron bar, always after midnight and under unusual weather (snowstorms, fog, hard rain, etc.). R??¬Æmaru killed four women and attacked more than 10 others.;Vampire;The Vampire of Bucharest;Femicide;Power and Hedonistic;Female;Adult;Female;None
Craig Price;10.11.1973;United States;1987-1989;4;4;1973;1987;14;Price killed two women and two children in Rhode Island in the late 1980s. He committed his first murder at the age of 13 in 1987. In 1989, Price was 15-years-old, he murdered three of his neighbors. He was known to break into a home and stab his victims ;Unknown;The Warwick Slasher;Femicide;Power and Hedonistic;Male;Child;Female;None
William Clyde Gibson;10.10.1957;United States;2002-2012;3;3;1957;2002;45;Gibson was known to rape strangle and stab his victims before mutilating their bodies and burying them in his back yard in New Albany, Indiana. Police found the third body while excavating Gibson's back yard, the victim was identified as a woman who had d;Rapist, Torturer, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
William Neal;10.07.1955;United States;1998;3;3;1955;1998;43;Neal massacred three women with an axe. He was convicted of the brutal slayings of Rebecca Lynn Holberton, 44, Angela Fite, 28, and Candace Anita Walters, 48. The women, who all had relationships with Neal, were found dead at a gruesome crime scene in Hol;Rapist, Sexual Predator;Wild Bill Cody;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Peter Bryan;10.03.1969;United Kingdom;1993-2004;3;3;1969;1993;24;English serial killer cannibal and diagnosed paranoid schizophrenic. Bryan was preventively detained in a mental institution, Rampton Hospital, after killing a shop assistant with a hammer in 1993. Bryan was transferred to an open psychiatric ward at Newh;Cannibal, Cannibal, Strangler;;Cannibalism;Hedonistic;Male;Adult;Male;None
Michael Lee Lockhart;9/30/1960;United States;1987-1988;3;6;1960;1987;27; Lockhart received death sentences in three separate states Florida, Indiana, and Texas. He would rape stab and mutilate his victims, he shot at least one of his victims. Lockhart was convicted of the capital murder of police officer Paul Hulsey Jr. in Be;Pedophile, Rapist, Torturer, Sexual Predator;The Perfect Gentleman;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Richard Laurence Marquette;12.12.1934;United States;1961-1975;3;3;1934;1961;27;Marquette was known to drain the blood, mutilate, dismember and scatter the remains of his victims. Marquette was the first person ever to be added as an eleventh name on the FBI Ten Most Wanted List for killing, mutilating and dismembering a woman in 196;Rapist, Strangler, Sexual Predator;Dick Marquette;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Todd Kohlhepp;03.07.1971;United States;2003-2016;7;7;1971;2003;32;In 2016, Kohlhepp was named as a person of interest in an unsolved 2003 bank robbery and triple homicide at the local Blue Ridge Savings Bank. In 2017, Kohlhepp pleaded guilty to seven counts of murder, two counts of kidnapping and one count of criminal s;Rapist, Sexual Predator;Superbike Murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Peter Manuel;03.01.1927;United States;1956-1958;7;9;1927;1956;29;Manuel was the one of the last prisoner to be hanged in Scotland, after a sensational trial in which he conducted his own defense. In 1958, Manuel was convicted of the murders of seven people, one murder case was thrown out of court and another was attrib;Rapist, Torturer, Sexual Predator;Beast of Birkenshaw;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Sataro Fukiage;2/25/1889;Japan;1906-1924;7;7;1889;1906;17;In 1906, Fukiage raped and murdered an 11-year-old girl. In 1923, Fukiage was arrested for molesting a four-year-old girl, but was later released. He raped and murdered six young girls, aged 11 to 16, between 1923 and 1924. He was arrested on July 28th 19;Rapist, Strangler, Pedophile, Sexual Predator;Shinshumaro;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Stanislaw Modzelewski;3/15/1929;Poland;1952-1967;7;8;1929;1952;23;Modzelewski's victims were women aged between 18 and 87, he killed victims by strangling with a scarf or with his bare hands. At least one victim had razor blade like cuts on her buttocks. He was only convicted of seven murders because one victims body wa;Sexual Predator, Vampire, Rapist, Strangler, Stalker;The Vampire of Galkowek;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Christine Falling;03.12.1963;United States;1980-1982;6;6;1963;1980;17;Sentenced to life imprisonment in December 1982.;Unknown;Christine Laverne Slaughter;Power;Power/Control;Male;Adult;Male;None
Ottis Toole;03.05.1947;United States;1961-1983;6;108;1947;1961;14;Toole confessed to killing more than a hundred people (108 Total) with his partner Henry Lee Lucas.;Cannibal;The Jacksonville Cannibal;Cannibalism;Hedonistic;Male;Adult;Mixed;None
Robert Joseph Zani;2/26/1944;United States;1967-1980;6;6;1944;1967;23;Zani would typically shoot or beat his victims to death. Zani was born in 1944 as only child, who was sexually abused by his mother as a teenager. He attended school and attained good grades. It wasn??¬Ä¬ôt until his first murder in 1967 that he had done ;Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Morris Solomon;3/15/1944;United States;1986-1987;6;7;1944;1986;42;Solomon killed six young women between 1986 and 1987 in Sacramento, California. Solomon would bound, beat and rape his victims burying the body wrapped in bed sheets. He worked as a handyman in Sacramento, California. In 1987, Solomon was arrested after a;Rapist, Strangler, Sexual Predator;Homicidal Handyman of Oak Park, The Sacramento Slayer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Aileen Carol Wuornos;2/29/1956;United States;1989-1990;6;8;1956;1989;33;Aileen Carol Wuornos an American serial killer who killed strangers, all men, along Florida highways over 13 months while working as a prostitute between 1989 and 1990. Wuornos claimed that her victims attempted to rape her while she was working as a pros;Sexual Predator;Monster;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;None
Stephen Richards;3/18/1856;United States;1878;5;9;1856;1878;22;Stephen Richards (Stephen Dee Richards) an American serial killer who confessed to committing nine murders in Nebraska and Iowa between 1876 and 1878. Richards was convicted for the axe murder of the Harlson family, a woman and her three children, and for;Unknown;The Nebraska Fiend;Femicide;Power and Hedonistic;Male;Child;Female;None
Cathy Wood;03.07.1962;United States;1987;5;5;1962;1987;25;Cathy Wood (Catherine May Wood) an American serial killer who along with her partner Gwendolyn Graham, known as the the Alpine Manor serial killers were convicted of killing five elderly women in Walker, Michigan, a suburb of Grand Rapids, in the 1980s. G;Hate Crime;One of the Alpine Manor serial killers;Power;Power/Control;Female;Adult;Female;Elderly
Colin Ireland;3/16/1954;United Kingdom;1993;5;5;1954;1993;39;Ireland was a highly organized serial killer-- he picked passive masochist gay men in the Coleherne public house, accompanied them home, and murdered them after they were voluntarily restrained. Ireland carried a full murder kit of rope, handcuffs and a f;Hate Crime, Torturer, Strangler;The Gay Slayer;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;None
Timothy Wilson Spencer;3/17/1962;United States;1984-1987;5;5;1962;1984;22;;Rapist, Strangler, Sexual Predator;The Southside Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Faryion Wardrip;03.06.1959;United States;1984-1986;5;5;1959;1984;25;Wardrip assaulted and murdered a total of five women around Wichita Falls, Texas between 1984 and 1986. He was convicted and sentenced to thirty-five years in prison for only one of the murders, he was released on parole in 1997. Wardrip was arrested and ;Rapist, Torturer, Strangler, Sexual Predator;The Wichita Falls Body Snatcher;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Joseph Edward Duncan;2/25/1963;United States;1996-2005;5;7;1963;1996;33;He was a child molester active between 1996 and 2005. Duncan was convicted of killing a California boy in 1997 and four members of an Idaho family in 2005. He confessed to two 1996 murders in Washington state, but has not been formally charged. Ducan woul;Pedophile, Rapist, Torturer, Sexual Predator;The Fitth Nail;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
William Patrick Fyfe;2/27/1955;Canada;1979-1999;5;9;1955;1979;24;William Patrick Fyfe a Canadian serial killer and rapist known as The Killer Handyman. Fyfe was convicted of killing five women in the Montreal area of Quebec. He was sentenced to life in prison in 2001. Fyfe made confession to four additional murders in ;Rapist, Sexual Predator;The Killer Handyman;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
L??¬©opold Dion;2/25/1920;Canada;1963;4;4;1920;1963;43;"L??¬©opold Dion a Canadian sex offender and serial killer known as the Monster of Port-Rouge. Dion was active in Quebec. He was sentenced to death by hanging. L??¬©opold Dion was stabbed to death on November 17th 1972 by fellow inmate named Normand ""Lawre";Unknown;Monster of Port-Rouge;Mental Illness;Visionary;Male;Adult;Male;None
John Straffen;2/27/1930;United Kingdom;1951-1952;3;3;1930;1951;21;John Straffen (John Thomas Straffen) an English serial killer who killed two young girls in the summer of 1951. Straffen killed his third victim after escaping from the mental hospital where he was being held for the first two murders. Straffen's sentence;Strangler;Longest-serving prisoner in British legal history;Power;Power/Control;Male;Adult;Female;None
Juan Covington;03.03.1962;United States;1998-2005;3;3;1962;1998;36;Covington shot and killed three victims between 1998 and 2005. Juan Covington was arrested in 2005 after security camera footage linked him to the murder of co-worker at the Pennsylvania Hospital in Philadelphia.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Robert Napper;3/25/1966;United Kingdom;1992-1993;3;3;1966;1992;26;Napper would rape, smother, stab and mutilate his victims.Napper was suspected of up to seventy other violent sexual attacks in South East London attributed to the unidentified Green Chain rapist. In 1994, Napper was arrested after his fingerprint was rec;Rapist, Stalker, Sexual Predator;Green Chain Rapist, The Plumstead Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Albert Fish;3/19/1870;United States;1924-1932;3;9;1870;1924;54;Albert Fish (born Hamilton Howard Fish) an American serial killer and child rapist who was convicted and executed for the kidnapping, rape murder and cannibalization of three children in New York, suspected of the deaths of six more children and teenagers;Cannibal, Pedophile, Rapist, Vampire, Cannibal, Torturer, Stalker, Sexual Predator, Vampire;Gray Man, Werewolf of Wysteria, The Boogey Man;Cannibalism, Vampirism, Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Tiago Gomes da Rocha;02.04.1988;Brazil;2011-2014;39;39;1988;2011;23;"Tiago Gomes da Rocha confessed to the murders of thirty-nine people. He approached his victims on a motorbike and shouted ""robbery"" before shooting them. However, Rocha never took anything from his victims. He targeted homeless people, women and homosexua";Sexual Predator, Strangler;Goiania Serial Killer;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Robert Christian Hansen;2/15/2939;United States;1971-1983;15;21;2939;1971;-968;Robert Christian Hansen kidnapped prostitutes and then would release them into the Alaska wilderness so Hansen could hunt them down like game animals. Based on discovered remains, police suspect him of six murders in addition to the fifteen for which he w;Rapist, Torturer, Stalker, Sexual Predator;The Butcher Baker;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Boone Helm;1/28/1828;United States;1850-1864;11;11;1828;1850;22;Boone Helm was a mountain man and gunfighter of the American West. In 1850, Helm stabbed his cousin after asking him to accompany Helm to California. On the way, he murdered several men in various altercations, eventually committing premeditated murder. I;Cannibal;The Kentucky Cannibal;Cannibalism;Hedonistic;Male;Adult;Male;None
